Game Name,Emotion,Game link,
Undertale,Angry,https://undertale.com/,
Hollow Knight,Angry,https://hollowknight.com/,
Celeste,Angry,https://www.celestegame.com/,
Ori and the Blind Forest,Angry,https://www.orithegame.com/blind-forest/,
Inside,Fear,https://playdead.com/games/inside/,
Limbo,Fear,https://playdead.com/games/limbo/,
Cuphead,fear,https://cupheadgame.com/,
FIFA Mobile,Fear,https://www.ea.com/games/fifa/fifa-mobile,
eFootball 2023,Fear,https://www.konami.com/efootball/en/,
Fortnite,Fear,https://www.epicgames.com/fortnite/en-US/home,
Hogwarts Legacy,Fear,https://www.hogwartslegacy.com/,
Stray,Fear,https://stray.game/,
God of War Ragnarok,Fear,https://www.playstation.com/en-us/games/god-of-war-ragnarok/,
It Takes Two,Fear,https://www.ea.com/games/it-takes-two,
The Last of Us Part II,Fear,https://www.thelastofus.playstation.com/,
Red Dead Redemption 2,Fear,https://www.rockstargames.com/reddeadredemption2/,
Uncharted 4,Fear,https://www.unchartedthegame.com/en-us/games/uncharted-4,
Clash of Clans,Fear,https://clashofclans.com/,
Clash Royale,Fear,https://clashroyale.com/,
Counter-Strike,Fear,https://blog.counter-strike.net/,
Crossy Road,Fear,https://www.crossyroad.com/,
Cyber Hunter,Fear,https://www.cyberhunter.game/,
Dead by Daylight,Fear,https://deadbydaylight.com/,
Diablo Immortal,Fear,https://diabloimmortal.blizzard.com/en-us/,
Doodle Jump,Fear,https://www.limasky.com/games/doodlejump/,
Dota 2,Fear,https://www.dota2.com/,
Dragon City,Fear,https://www.dragoncitygame.com/,
Dream League Soccer,Fear,https://www.firsttouchgames.com/games/dream-league-soccer/,
Elden Ring,Fear,https://en.bandainamcoent.eu/elden-ring/elden-ring,
Fall Guys,Fear,https://fallguys.com/,
FarmVille,Fear,https://www.zynga.com/games/farmville-2/,
Final Fantasy XIV,Fear,https://www.finalfantasyxiv.com/,
Flappy Bird,Fear,https://web.archive.org/web/20140210080723/http://www.dotgears.com/,
For Honor,Fear,https://forhonor.ubisoft.com/,
Forza Horizon 5,Fear,https://forzamotorsport.net/en-us/games/forza-horizon-5,
Free Fire,Fear,https://ff.garena.com/,
Genshin Impact,Fear,https://genshin.mihoyo.com/en/,
Geometry Dash,Fear,https://www.robtopgames.com/gd/,
GTA Online,Fear,https://www.rockstargames.com/gta-online,
Hearthstone,Depression,https://playhearthstone.com/en-us,
Hill Climb Racing,Depression,https://fingersoft.com/games/hill-climb-racing/,
Hitman Sniper,Depression,https://hitman.com/global/buy/hitman-sniper,
Just Cause 4,Depression,https://justcause.square-enix-games.com/en-us/games/just-cause-4,
Ludo King,Depression,https://www.ludo.king.com/,
Mafia City,Depression,https://mafiah5.yottagames.com/,
Mario Kart Tour,Depression,https://mariokarttour.com/en-US,
Mortal Kombat Mobile,Depression,https://www.mortalkombat.com/,
NBA 2K Mobile,Depression,https://nba.2k.com/mobile/,
Need for Speed: No Limits,Depression,https://www.ea.com/games/need-for-speed/need-for-speed-no-limits,
Overcooked! 2,Depression,https://www.team17.com/games/overcooked-2/,
Pac-Man,Depression,https://www.bandainamcoent.com/games/pac-man,
Plague Inc.,Depression,https://www.ndemiccreations.com/en/22-plague-inc,
Plants vs Zombies,Depression,https://www.ea.com/games/plants-vs-zombies,
Pokemon Go,Depression,https://pokemongolive.com/,
PUBG Mobile,Depression,https://www.pubgmobile.com/en-US/,
Resident Evil 4,Depression,https://www.residentevil.com/re4/,
Roblox,Depression,https://www.roblox.com/,
Rocket League,Depression,https://www.rocketleague.com/,
Sims 4,Depression,https://www.ea.com/games/the-sims/the-sims-4,
Sonic Dash,Depression,https://www.sega.com/games/sonic-dash,
Spider-Man: Miles Morales,Depression,https://www.playstation.com/en-us/games/marvels-spider-man-miles-morales/,
Stardew Valley,Depression,https://www.stardewvalley.net/,
Subway Surfers,Depression,https://sybo.com/games/subway-surfers/,
Super Mario Run,Depression,https://supermariorun.com/,
Tekken 7,Depression,https://www.bandainamcoent.com/games/tekken-7,
Temple Run,Depression,https://imangistudios.com/games/temple-run/,
The Elder Scrolls: Blades,Depression,https://elderscrolls.bethesda.net/en/blades,
The Legend of Zelda: BOTW,Depression,https://www.zelda.com/breath-of-the-wild/,
The Witcher 3,Depression,https://thewitcher.com/en/witcher3,
Tic-Tac-Toe,Depression,https://playtictactoe.org/,
Tomb Raider,Depression,https://tombraider.square-enix-games.com/en-us,
Valorant,Depression,https://playvalorant.com/,
Warframe,Depression,https://www.warframe.com/,
World of Tanks,Depression,https://worldoftanks.com/,
World of Warcraft,Depression,https://worldofwarcraft.blizzard.com/,
XCOM 2,surprise,https://xcom.com/,
Yu-Gi-Oh! Duel Links,surprise,https://www.konami.com/yugioh/duel_links/en/,
Zelda: Tears of the Kingdom,surprise,https://www.zelda.com/tears-of-the-kingdom/,
Zombie Tsunami,surprise,https://www.mobigame.net/zombie-tsunami.html,
Halo Infinite,surprise,https://www.halowaypoint.com/,
Resident Evil Village,surprise,https://www.residentevil.com/village/,
Horizon Zero Dawn,surprise,https://www.guerrilla-games.com/play/horizon,
Metal Gear Solid V,surprise,https://www.konami.com/mg/mgs5/,
Half-Life: Alyx,surprise,https://www.half-life.com/en/alyx,
Cyberpunk 2077,surprise,https://www.cyberpunk.net/,
League of Legends,surprise,https://www.leagueoflegends.com/,
Riders Republic,surprise,https://www.ubisoft.com/game/riders-republic,
Gran Turismo 7,surprise,https://www.gran-turismo.com/us/,
Battlefield 2042,surprise,https://www.ea.com/games/battlefield/battlefield-2042,
Minecraft,surprise,https://www.minecraft.net/,
Among Trees,Neutral,https://www.amongtreesgame.com/,
Slay the Spire,Neutral,https://www.megacrit.com/,
Undertale,Neutral,https://undertale.com/,
Hollow Knight,Neutral,https://hollowknight.com/,
Celeste,Neutral,https://www.celestegame.com/,
Ori and the Blind Forest,Neutral,https://www.orithegame.com/,
Inside,Neutral,https://playdead.com/games/inside/,
Limbo,Neutral,https://playdead.com/games/limbo/,
Cuphead,Neutral,https://www.studiomdhr.com/,
FIFA Mobile,Neutral,https://www.ea.com/games/fifa/fifa-mobile,
eFootball 2023,Neutral,https://www.konami.com/efootball/,
Fortnite,Neutral,https://www.epicgames.com/fortnite/,
Hogwarts Legacy,Neutral,https://www.hogwartslegacy.com/,
Stray,Neutral,https://stray.game/,
